Participant,Trial,code_file,Programming_Language,Expertise,Complexity,Stage,Vertical_Next_Text,Vertical_Later_Text,Horizontal_Later_Text,Regression_Rate,Line_Regression_Rate,Saccade_Length,Element_Coverage,Story_Order_Naive_Score,Story_Order_Dynamic_Score,Story_Order_Dynamic_Repetitions,Execution_Order_Naive_Score,Execution_Order_Dynamic_Score,Execution_Order_Dynamic_Repetitions
55,5,vehicle_java2.jpg,Java,medium,B,stage1,0.8074866310160428,0.8663101604278075,0.6096256684491979,0.2352941176470588,0.106951871657754,63.89459957256072,0.2410714285714285,-62,-62,1,-67,-67,1
55,5,vehicle_java2.jpg,Java,medium,B,stage2,0.8342245989304813,0.8823529411764706,0.6417112299465241,0.2299465240641711,0.1176470588235294,54.44739557187866,0.1160714285714285,-78,-78,1,-86,-86,1
55,2,rectangle_java2.jpg,Java,medium,A,stage1,0.922680412371134,0.9381443298969072,0.5979381443298969,0.2938144329896907,0.2371134020618556,51.81160489821215,0.1458333333333333,-27,-27,1,-21,-21,1
55,2,rectangle_java2.jpg,Java,medium,A,stage2,0.8102564102564103,0.8666666666666667,0.5897435897435898,0.2769230769230769,0.1487179487179487,67.87021885637577,0.25,-70,-64,2,-70,-70,1
4,2,rectangle_java2.jpg,Java,medium,A,stage1,0.7843137254901961,0.8333333333333334,0.5,0.3039215686274509,0.1470588235294117,63.59035554093781,0.1388888888888889,-37,-37,1,-32,-32,1
4,2,rectangle_java2.jpg,Java,medium,A,stage2,0.7843137254901961,0.8235294117647058,0.5294117647058824,0.2941176470588235,0.1274509803921568,82.15858681981626,0.2291666666666666,-40,-40,1,-54,-54,1
4,5,vehicle_java2.jpg,Java,medium,B,stage2,0.7833333333333333,0.8416666666666667,0.575,0.225,0.075,74.23597533820752,0.1607142857142857,-61,-61,1,-81,-81,1
4,5,vehicle_java2.jpg,Java,medium,B,stage1,0.8333333333333334,0.85,0.55,0.2666666666666666,0.125,47.16657042332948,0.1875,-47,-47,1,-52,-52,1
99,2,rectangle_java2.jpg,Java,high,A,stage1,0.8604651162790697,0.8837209302325582,0.5930232558139535,0.2209302325581395,0.1162790697674418,64.16587510361735,0.1597222222222222,-21,-21,1,-31,-31,1
99,2,rectangle_java2.jpg,Java,high,A,stage2,0.7126436781609196,0.7701149425287356,0.5057471264367817,0.2758620689655172,0.057471264367816,76.86046790331324,0.1875,-58,-54,2,-41,-41,1
