Participant,Trial,code_file,Programming_Language,Expertise,Comprehension_Result,Complexity,Story_Order_Naive_Score,Story_Order_Dynamic_Score,Story_Order_Dynamic_Repetitions,Execution_Order_Naive_Score,Execution_Order_Dynamic_Score,Execution_Order_Dynamic_Repetitions
99,2,rectangle_java2.jpg,Java,high,1,A,-71,-67,2,-75,-68,2
186,2,rectangle_java2.jpg,Java,medium,1,A,-74,-44,2,-80,-80,1
172,2,vehicle_java2.jpg,Java,low,1,B,-13,30,2,-30,-3,2
64,5,rectangle_java2.jpg,Java,medium,1,A,-216,-82,5,-197,-119,4
64,2,vehicle_java2.jpg,Java,medium,0,B,-334,-176,7,-345,-222,5
175,2,rectangle_python.jpg,Python,medium,1,A,-39,-39,1,-56,-56,1
63,5,rectangle_java.jpg,Java,medium,1,A,-122,-87,2,-121,-106,2
63,2,vehicle_java.jpg,Java,medium,0,B,-92,-85,2,-115,-100,2
181,2,rectangle_java2.jpg,Java,none,0,A,11,11,1,-28,-28,1
181,5,vehicle_java2.jpg,Java,none,0,B,-3,-3,1,-17,-17,1
97,2,vehicle_java2.jpg,Java,medium,0,B,-50,-30,2,-74,-46,2
97,5,rectangle_java2.jpg,Java,medium,1,A,-88,-67,2,-95,-92,2
116,2,vehicle_java2.jpg,Java,low,0,B,10,10,1,-11,-11,1
38,2,rectangle_java2.jpg,Java,none,0,A,-94,-66,4,-88,-67,2
118,5,vehicle_java.jpg,Java,high,1,B,-15,-15,1,-31,-31,1
31,2,rectangle_java2.jpg,Java,medium,1,A,-89,-65,2,-108,-108,1
31,5,vehicle_java2.jpg,Java,medium,0,B,-61,-61,1,-84,-84,1
120,2,rectangle_java.jpg,Java,medium,0,A,-62,-38,2,-62,-61,2
36,5,vehicle_java.jpg,Java,none,0,B,-15,-15,1,-32,-32,1
36,2,rectangle_java.jpg,Java,none,0,A,-1,-1,1,-32,-32,1
96,5,rectangle_java2.jpg,Java,low,1,A,-88,-70,4,-92,-67,2
96,2,vehicle_java2.jpg,Java,low,0,B,-32,-32,1,-55,-53,2
180,2,vehicle_java2.jpg,Java,low,1,B,-53,-35,2,-69,-49,2
180,5,rectangle_java2.jpg,Java,low,1,A,-24,-4,2,-28,-28,1
62,5,vehicle_java.jpg,Java,medium,0,B,0,-9,2,-25,-25,1
62,2,rectangle_java.jpg,Java,medium,1,A,-5,-1,2,-24,-24,1
65,5,vehicle_java.jpg,Java,low,0,B,-30,-30,1,-44,-44,1
65,2,rectangle_java.jpg,Java,low,0,A,-7,-7,1,-19,-19,1
91,5,rectangle_java2.jpg,Java,medium,1,A,8,8,1,-29,-29,1
91,2,vehicle_java2.jpg,Java,medium,1,B,-55,-55,1,-78,-66,2
53,2,rectangle_java.jpg,Java,medium,1,A,-92,-58,3,-80,-70,2
53,5,vehicle_java.jpg,Java,medium,1,B,-41,-41,1,-57,-57,1
145,2,rectangle_java2.jpg,Java,medium,1,A,-78,-78,1,-101,-101,1
145,5,vehicle_java2.jpg,Java,medium,0,B,-86,-55,2,-101,-82,2
5,5,vehicle_java2.jpg,Java,low,0,B,-31,-31,1,-55,-40,2
5,2,rectangle_java2.jpg,Java,low,1,A,-62,-55,3,-61,-51,2
54,5,rectangle_java.jpg,Java,medium,1,A,-166,-115,4,-166,-141,3
54,2,vehicle_java.jpg,Java,medium,0,B,-17,-17,1,-40,-40,1
142,2,vehicle_java2.jpg,Java,medium,0,B,-52,-52,1,-75,-74,2
142,5,rectangle_java2.jpg,Java,medium,1,A,-131,-78,4,-107,-91,3
189,5,rectangle_java2.jpg,Java,medium,0,A,-9,-9,1,-34,-34,1
189,2,vehicle_java2.jpg,Java,medium,1,B,4,4,1,-12,-12,1
202,2,vehicle_java.jpg,Java,medium,0,B,-344,-267,5,-349,-298,5
202,5,rectangle_java.jpg,Java,medium,1,A,-62,-51,2,-77,-77,1
204,5,rectangle_java.jpg,Java,low,0,A,8,8,1,-29,-29,1
204,2,vehicle_java.jpg,Java,low,0,B,-14,-14,1,-24,-24,1
203,2,rectangle_java.jpg,Java,medium,0,A,-45,-43,2,-47,-47,1
203,5,vehicle_java.jpg,Java,medium,0,B,-17,-17,1,-29,-29,1
210,2,vehicle_java2.jpg,Java,high,0,B,-27,-27,1,-49,-49,1
210,5,rectangle_java2.jpg,Java,high,1,A,-14,-14,1,-38,-38,1
