Participant,Trial,code_file,Programming_Language,Expertise,Comprehension_Result,Complexity,Vertical_Next_Text,Vertical_Later_Text,Horizontal_Later_Text,Regression_Rate,Line_Regression_Rate,Saccade_Length,Element_Coverage,Story_Order_Naive_Score,Story_Order_Dynamic_Score,Story_Order_Dynamic_Repetitions,Execution_Order_Naive_Score,Execution_Order_Dynamic_Score,Execution_Order_Dynamic_Repetitions
17,5,vehicle_java2.jpg,Java,medium,0,B,0.7665505226480837,0.8571428571428571,0.5714285714285714,0.2369337979094076,0.0975609756097561,83.04189415106724,0.3214285714285714,-117,-78,2,-133,-89,3
28,2,rectangle_java2.jpg,Java,medium,1,A,0.8243727598566308,0.8817204301075269,0.6164874551971327,0.2580645161290322,0.1433691756272401,79.02083595779924,0.2986111111111111,-62,-38,3,-65,-63,2
28,5,vehicle_java2.jpg,Java,medium,0,B,0.9026548672566372,0.9380530973451328,0.6991150442477876,0.1858407079646017,0.1327433628318584,75.55092742567477,0.2232142857142857,11,11,1,-6,-6,1
21,5,vehicle_java2.jpg,Java,low,0,B,0.8107344632768362,0.867231638418079,0.5819209039548022,0.2429378531073446,0.1129943502824858,65.15209175488482,0.3035714285714285,-148,-89,2,-159,-126,2
21,2,rectangle_java2.jpg,Java,low,1,A,0.8706624605678234,0.8927444794952681,0.5678233438485805,0.2712933753943217,0.167192429022082,70.44287481191725,0.2777777777777778,-96,-37,2,-77,-64,2
108,5,rectangle_java2.jpg,Java,high,1,A,0.7806451612903226,0.8516129032258064,0.5935483870967742,0.2258064516129032,0.0838709677419354,69.42286016200327,0.2222222222222222,-50,-40,2,-53,-53,1
108,2,vehicle_java2.jpg,Java,high,0,B,0.7294117647058823,0.8117647058823529,0.5411764705882353,0.2352941176470588,0.0588235294117647,98.63424124892092,0.2232142857142857,-20,-20,1,-38,-38,1
26,2,vehicle_java2.jpg,Java,high,1,B,0.7679558011049724,0.8674033149171271,0.4751381215469613,0.2983425414364641,0.1712707182320442,97.9058679973834,0.2767857142857143,-56,-47,2,-77,-56,2
19,5,vehicle_java.jpg,Java,medium,1,B,0.8321167883211679,0.8978102189781022,0.635036496350365,0.145985401459854,0.0510948905109489,78.57758254450853,0.2232142857142857,-13,-1,2,-29,-12,2
72,2,vehicle_java2.jpg,Java,medium,0,B,0.7247706422018348,0.8073394495412844,0.5504587155963303,0.2477064220183486,0.0581039755351682,69.91943011354195,0.2946428571428571,-184,-135,4,-188,-165,2
164,2,vehicle_java2.jpg,Java,low,0,B,0.7319148936170212,0.8170212765957446,0.4978723404255319,0.3021276595744681,0.1234042553191489,76.1846659276582,0.3035714285714285,-98,-98,1,-121,-114,2
164,5,rectangle_java2.jpg,Java,low,1,A,0.7203791469194313,0.8009478672985783,0.4739336492890995,0.3080568720379147,0.1137440758293838,83.10417239404373,0.2430555555555555,-102,-92,3,-109,-98,2
86,5,vehicle_java2.jpg,Java,medium,0,B,0.8827586206896552,0.913793103448276,0.6551724137931034,0.1862068965517241,0.1034482758620689,58.72156149888337,0.2767857142857143,-66,-54,3,-83,-62,2
86,2,rectangle_java2.jpg,Java,medium,1,A,0.8612612612612612,0.9045045045045044,0.6576576576576577,0.227027027027027,0.1333333333333333,65.71618023970733,0.2847222222222222,-173,-85,4,-147,-126,3
190,2,vehicle_java2.jpg,Java,medium,0,B,0.8854166666666666,0.9375,0.7083333333333334,0.1145833333333333,0.0625,72.21151879582716,0.2321428571428571,19,19,1,-3,-3,1
81,5,rectangle_java.jpg,Java,medium,1,A,0.8174603174603174,0.8650793650793651,0.5952380952380952,0.238095238095238,0.1111111111111111,78.44117646105093,0.2083333333333333,-21,-21,1,-45,-45,1
81,2,vehicle_java.jpg,Java,medium,0,B,0.8770226537216829,0.919093851132686,0.6828478964401294,0.1844660194174757,0.1067961165048543,81.88309179989871,0.3214285714285714,-52,-33,3,-74,-45,3
197,2,vehicle_java.jpg,Java,medium,0,B,0.8181818181818182,0.8814229249011858,0.5968379446640316,0.2529644268774703,0.1383399209486166,91.0565220809796,0.2589285714285714,-63,-62,2,-85,-85,1
75,2,vehicle_java.jpg,Java,medium,0,B,0.7714285714285715,0.8607142857142858,0.6214285714285714,0.2142857142857142,0.0785714285714285,100.11432949283336,0.25,-113,-71,3,-117,-93,3
75,5,rectangle_java.jpg,Java,medium,1,A,0.7323232323232324,0.8333333333333334,0.4747474747474747,0.3181818181818182,0.1565656565656565,110.8455938263372,0.2708333333333333,-80,-43,3,-85,-68,3
163,2,vehicle_java.jpg,Java,low,0,B,0.8287292817679558,0.8784530386740331,0.569060773480663,0.2541436464088398,0.1381215469613259,89.69050568731417,0.2857142857142857,-34,-34,1,-55,-55,1
163,5,rectangle_java.jpg,Java,low,1,A,0.7924528301886793,0.8364779874213837,0.559748427672956,0.270440251572327,0.1132075471698113,94.92340100460304,0.2291666666666666,-38,-38,1,-62,-57,2
88,2,rectangle_java2.jpg,Java,high,1,A,0.7051282051282052,0.7948717948717948,0.4358974358974359,0.2948717948717949,0.1025641025641025,104.74139617041786,0.1944444444444444,-18,-18,1,-39,-39,1
88,5,vehicle_java2.jpg,Java,high,0,B,0.6991150442477876,0.7964601769911505,0.4336283185840708,0.2920353982300885,0.0973451327433628,94.64854734558068,0.2678571428571428,-54,-31,2,-49,-40,2
43,2,vehicle_java2.jpg,Java,low,0,B,0.7724137931034483,0.8517241379310345,0.6103448275862069,0.193103448275862,0.0482758620689655,64.12750708568632,0.3125,-118,-71,4,-137,-96,4
43,5,rectangle_java2.jpg,Java,low,1,A,0.7483870967741936,0.8129032258064516,0.4903225806451612,0.2774193548387096,0.0967741935483871,64.55653855123073,0.2222222222222222,-56,-56,1,-73,-73,1
155,2,vehicle_java2.jpg,Java,medium,1,B,0.7425742574257426,0.8217821782178217,0.5099009900990099,0.2623762376237624,0.0891089108910891,86.43296231507733,0.2946428571428571,-88,-67,3,-111,-91,2
155,5,rectangle_java2.jpg,Java,medium,1,A,0.7823529411764706,0.8352941176470589,0.5470588235294118,0.2764705882352941,0.1176470588235294,80.86058197435771,0.2569444444444444,-55,-39,2,-39,-39,1
44,2,vehicle_java2.jpg,Java,medium,0,B,0.7747440273037542,0.8498293515358362,0.5631399317406144,0.2218430034129692,0.0750853242320819,69.9377396046831,0.3125,-132,-65,4,-155,-108,4
44,5,rectangle_java2.jpg,Java,medium,0,A,0.8176100628930818,0.8490566037735849,0.6415094339622641,0.1886792452830188,0.0440251572327044,59.6682179615172,0.1944444444444444,-41,-39,2,-68,-68,1
27,5,rectangle_java.jpg,Java,low,1,A,0.8440366972477065,0.8899082568807339,0.6238532110091743,0.1926605504587156,0.091743119266055,78.43071316605213,0.1736111111111111,-24,-7,2,-39,-39,1
27,2,vehicle_java.jpg,Java,low,0,B,0.8732394366197183,0.9154929577464788,0.6901408450704225,0.1267605633802817,0.056338028169014,74.0872717529369,0.1428571428571428,1,1,1,-8,-8,1
